district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
中和區,土地,員山段862地號,0.09,,,,1111206,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2092,0,,0,0,包含公共設施保留地用地；,SPUQMLKLKIHGFHF68DA,0,0,0,無
中和區,土地,三民段3-1地號,2.15,都市：其他:人行步道,,,1111205,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,162223,75453,,0,0,包含公共設施保留地用地；,RPVQMLKLKIHGFHF68DA,0,0,0,無
中和區,土地,員山段862地號,0.15,,,,1111205,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3486,0,,0,0,包含公共設施保留地用地；,SPVQMLKLKIHGFHF78DA,0,0,0,無
中和區,房地(土地+建物)+車位,新北市中和區橋和路１６０巷２０號九樓,15.92,住,,,1111221,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871230,150.33,3,2,2,有,有,19600000,130052,坡道平面,15,2000000,,RPQTMLQLKIHGFHF09DA,80.26,1.11,8.75,有
中和區,房地(土地+建物),新北市中和區興南路二段１２８巷９弄５號,31.12,住,,,1111212,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681130,89.45,5,0,5,有,無,10500000,117384,,0,0,陽台外推；,RPTNMLTJJHIGFHF78DA,89.45,0,0,無
中和區,房地(土地+建物),新北市中和區福美路３０１巷７號,26.93,住,,,1111221,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660917,82.8,3,1,2,有,無,10000000,120773,,0,0,,RPXRMLKKJHIGFHF78DA,82.8,0,0,無
中和區,房地(土地+建物),新北市中和區四維街２９號六樓,9.65,住,,,1111211,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1010120,92.87,2,2,1,有,有,14460000,155702,,0,0,其他增建；,RPVQMLKKJHIGFHF48DA,54.62,4.57,4.58,有
中和區,土地,橫路段1246-1地號,57.75,都市：其他:垃圾處理場用地,,,1111229,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,221691,3839,,0,0,包含公共設施保留地用地；,RPSRMLKKJHIGFHF38EA,0,0,0,無
中和區,房地(土地+建物),新北市中和區保健路１０６巷４弄１２號四樓,25.14,住,,,1111213,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ架構,620503,72.87,3,2,1,有,無,11100000,152326,,0,0,頂樓加蓋；其他增建；,RPPNMLLKJHIGFHF77EA,59.65,0,13.22,無
中和區,房地(土地+建物),新北市中和區景安路１７３號四樓,37.76,住,,,1111215,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,Ｒ‧Ｃ造,640201,95.29,5,1,1,有,無,13360000,140204,,0,0,頂樓加蓋；,RPOQMLLKJHIGFHF97EA,90.79,0,4.5,無
中和區,房地(土地+建物),新北市中和區景新街４６７巷２０弄１５０之１號五樓,41.79,住,,,1111217,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701219,95.28,6,4,4,有,無,9700000,101805,,0,0,陽台外推；頂樓加蓋；,RPSOMLMKJHIGFHF28EA,79.56,0,15.72,無
中和區,房地(土地+建物),新北市中和區華順街１３５巷１６號二樓,10.09,住,,,1111213,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1050421,56.68,2,1,1,有,有,8100000,142908,,0,0,,RPUQMLNJJHIGFHF58DA,24.01,2.22,2.38,有
中和區,房地(土地+建物),新北市中和區中正路７２５號,26.82,住,,,1111204,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,750109,101.64,0,0,1,有,無,20000000,196773,,0,0,本案拆算土地及建物價格。土地總價：新台幣1927萬4千元正；建物總價：新台幣72萬6千元正。其他增建；,RPQQMLOJJHIGFHF28DA,86.67,9.43,0,無
中和區,房地(土地+建物)+車位,新北市中和區宜安路１８巷２２之２號二樓,14.93,住,,,1111211,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110208,103.28,2,2,1,有,有,16220000,176591,塔式車位,20.49,1600000,其他增建；,RPWPMLQJJHIGFHF98DA,47.93,0,7.46,有
中和區,房地(土地+建物),新北市中和區中山路三段１８１巷１８弄４１號四樓,43.23,住,,,1111225,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721129,87.38,3,2,2,有,有,9000000,102998,,0,0,,RPUOMLMKJHIGFHF38DA,75,0,7.38,無
中和區,房地(土地+建物),新北市中和區成功路４１巷５號九樓,9.65,住,,,1111217,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,891124,98.95,3,2,2,有,有,12000000,121273,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPORMLOKKIHGFHF38DA,75.17,0,3.95,有
中和區,房地(土地+建物)+車位,新北市中和區圓通路３６７巷３３弄８１號,86.89,都市：其他:住宅區,,,1111213,土地4建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980901,151,3,2,2,有,有,14000000,107210,坡道平面,39.07,2000000,,RPUQMLMKJHIGFHF58DA,75.57,0,9.41,有
中和區,房地(土地+建物),新北市中和區景新街３３７之６號九樓,9.29,商,,,1111203,土地1建物1車位0,九層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1110224,130.69,3,2,2,有,有,22980000,175836,,0,0,,RPWRMLSLKIHGFHF07DA,75.78,3.45,8.36,有
中和區,房地(土地+建物),新北市中和區景新街３３７之７號六樓,4.29,商,,,1111222,土地1建物1車位0,六層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1110224,61.01,1,1,1,有,有,11450000,187674,,0,0,,RPSPMLQKJHIGFHF78EA,36.03,0,4.86,有
中和區,房地(土地+建物),新北市中和區連城路３４７巷４５號四樓,32.97,住,,,1111231,土地1建物1車位0,四層，陽台，露台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661229,66.46,2,1,1,有,無,6000000,90280,,0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLNKJHIGFHF97EA,66.46,0,0,無
中和區,房地(土地+建物),新北市中和區中正路８１７號八樓之二,2.54,都市：其他:住宅區,,,1111230,土地2建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880915,30.17,1,1,1,有,有,4000000,132538,,0,0,,RPQNMLNKJHIGFHF08EA,20.96,0,3.11,有
