學校名,平均房價,房屋數量
私立華夏科技大學,126402.6962962963,135
市立中和高中,128323.88235294117,51
市立中和國中,138619.25096525098,259
市立漳和國中,159756.591954023,174
市立自強國中,122606.62365591398,93
市立積穗國中,127595.10236220472,127
市立中和國小,153966.515625,320
市立光復國小,146558.91176470587,34
市立自強國小,122102.7469879518,83
市立秀山國小,150202.8661417323,254
市立復興國小,150089.77519379844,129
市立錦和國小,113932.30232558139,43
市立景新國小,168710.74033149172,362
市立積穗國小,131121.95336787566,193
市立興南國小,145858.64561403508,285
