站名,平均房價,房屋數量
南勢角,161407.91783216782,572
景安,154436.64656964657,481
永安市場,191603.64705882352,85
秀朗橋,147058.61417322836,127
景平,167687.8392857143,392
中和,147933.44478527608,326
橋和,135985.75,120
中原,149862.27272727274,132
